Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
AID_DM_1746,12,1,1,1,6,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_1771,1,1,1,1,5,-1,0,97200,493.52,0,0,0,0,0,Boston,1
AID_DM_1789,8,1,1,1,5,-1,0,97200,494.0418182,0,0,0,0,0,MassCentral,1
AID_DM_1791,13,1,1,1,5,-1,0,97200,492.922,0,0,0,0,0,Vermont,1
AID_DM_1798,12,1,1,1,5,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_1844,9,1,1,1,5.43,-1,0,97200,491.7385714,0,0,0,0,0,MassSE,1
AID_DM_191,8,1,1,1,5.49,-1,0,97200,494.0418182,0,0,0,0,0,MassCentral,1
AID_DM_1917,7,1,1,1,5,-1,0,97200,496.257,0,0,0,0,0,MaineSouth,1
AID_DM_1983,2,1,1,1,26.4,-1,0,97200,495.4490909,0,0,0,0,0,ConnCentral,1
AID_DM_2050,2,1,1,1,5,-1,0,97200,495.4490909,0,0,0,0,0,ConnCentral,1
AID_DM_213,13,1,1,1,6.3,-1,0,97200,492.922,0,0,0,0,0,Vermont,1
AID_DM_2137,12,1,1,1,10,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_2163,12,1,1,1,5.2,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_2186,10,1,1,1,5,-1,0,97200,492.77,0,0,0,0,0,MassWest,1
AID_DM_2199,13,1,1,1,5,-1,0,97200,492.922,0,0,0,0,0,Vermont,1
AID_DM_2214,7,1,1,1,5,-1,0,97200,496.257,0,0,0,0,0,MaineSouth,1
AID_DM_2234,10,1,1,1,6.5,-1,0,97200,492.77,0,0,0,0,0,MassWest,1
AID_DM_2246,10,1,1,1,5,-1,0,97200,492.77,0,0,0,0,0,MassWest,1
AID_DM_2287,10,1,1,1,5,-1,0,97200,492.77,0,0,0,0,0,MassWest,1
AID_DM_2320,10,1,1,1,20,-1,0,97200,492.77,0,0,0,0,0,MassWest,1
AID_DM_2328,2,1,1,1,20,-1,0,97200,495.4490909,0,0,0,0,0,ConnCentral,1
AID_DM_2357,7,1,1,1,5,-1,0,97200,496.257,0,0,0,0,0,MaineSouth,1
AID_DM_2406,10,1,1,1,5.62,-1,0,97200,492.77,0,0,0,0,0,MassWest,1
AID_DM_242,8,1,1,1,50,-1,0,97200,494.0418182,0,0,0,0,0,MassCentral,1
AID_DM_2444,7,1,1,1,8.42,-1,0,97200,496.257,0,0,0,0,0,MaineSouth,1
AID_DM_2460,12,1,1,1,5,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_2471,10,1,1,1,7.2,-1,0,97200,492.77,0,0,0,0,0,MassWest,1
AID_DM_2487,7,1,1,1,5,-1,0,97200,496.257,0,0,0,0,0,MaineSouth,1
AID_DM_2490,10,1,1,1,12.5,-1,0,97200,492.77,0,0,0,0,0,MassWest,1
AID_DM_2511,10,1,1,1,8,-1,0,97200,840.144,0,0,0,0,0,MassWest,1
AID_DM_2513,9,1,1,1,0,-1,0,97200,1062.23,0,0,0,0,0,MassSE,1
AID_DM_2514,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_2586,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_2591,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_2665,11,1,1,1,0,-1,0,97200,873.04,0,0,0,0,0,NewHampshire,1
AID_DM_2726,10,1,1,1,0,-1,0,97200,840.144,0,0,0,0,0,MassWest,1
AID_DM_2728,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_2756,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_278,12,1,1,1,0,-1,0,97200,498.9841667,0,0,0,0,0,RhodeIsland,1
AID_DM_28,7,1,1,1,0,-1,0,97200,496.257,0,0,0,0,0,MaineSouth,1
AID_DM_2820,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_2910,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_2950,10,1,1,1,0,-1,0,97200,840.144,0,0,0,0,0,MassWest,1
AID_DM_2959,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_3064,10,1,1,1,0,-1,0,97200,840.144,0,0,0,0,0,MassWest,1
AID_DM_3102,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_3176,2,1,1,1,0,-1,0,97200,0,0,0,0,0,0,ConnCentral,1
AID_DM_3187,11,1,1,1,0,-1,0,97200,873.04,0,0,0,0,0,NewHampshire,1
AID_DM_3230,13,1,1,1,0,-1,0,97200,783.38,0,0,0,0,0,Vermont,1
AID_DM_3244,7,1,1,1,0,-1,0,97200,869.8163158,0,0,0,0,0,MaineSouth,1
AID_DM_339,9,1,1,1,0,-1,0,97200,491.7385714,0,0,0,0,0,MassSE,1
AID_DM_3406,10,1,1,1,0,-1,0,97200,840.144,0,0,0,0,0,MassWest,1
