Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
AID6847,1,1,1,1,6.5,-1,20,65400,726.5282349,1.807139275,15820,FO6,250,20,14.238,20,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID2621,11,1,1,1,74,-1,20,65400,474.2621707,2.249095003,14569,NG_Tenn Z6,250,20,13.112,20,8,0.64,0.64,0.468,0.25,0.5,0,0,NewHampshire,1
AID18756,8,1,1,1,38.96552511,-1,50,65400,322.9006049,3.460417953,7810.375,NG_Tenn Z6,250,20,3.28036,9,4,0.64,0.64,0.468,0.25,0.5,0,0,MassCentral,1
AID3641,1,1,1,1,47.65999985,-1,50,65400,348.1286033,2.843765671,12657.16783,NG_Tenn Z6,250,20,5.31601,14,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID2537,6,1,1,1,0,-1,50,65400,193.4039468,3.581889662,11231,NG_Dracut,250,0,0.795,2,2,0.64,0.64,0.468,0.25,0.5,0,0,MaineCentral,1
AID2777,2,1,1,1,0.870000005,-1,5,65400,474.2621707,2.249095003,14569,NG_Algonquin,250,20,13.112,20,8,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID2769,2,1,1,1,1.409999967,-1,20,65400,474.2621707,2.249095003,14569,NG_Algonquin,250,20,13.112,20,8,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID2770,2,1,1,1,3.100000004,-1,5,65400,474.2621707,2.249095003,14569,NG_Algonquin,250,20,13.112,20,8,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID6852,12,1,1,1,5.279584531,-1,20,65400,423.8083154,2.097536427,14569,FO6,250,0,13.112,20,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID2773,2,1,1,1,2.519187245,-1,5,65400,474.2621707,2.249095003,14569,NG_Algonquin,250,20,13.112,20,8,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID3522,1,1,1,1,1.289999962,-1,5,65400,474.2621707,2.249095003,14569,NG_Algonquin,250,0,13.112,20,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID6867,12,1,1,1,1.289999962,-1,5,65400,363.2630467,1.959854214,13905,FO6,250,0,12.515,20,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID6868,12,1,1,1,12.09999998,-1,5,65400,363.2630467,1.959854214,13905,FO6,250,0,12.515,20,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID6969,5,1,1,1,2.519187245,-1,20,65400,395.2161557,2.051260471,13905,FO6,250,20,12.515,20,4,0.64,0.64,0.468,0.25,0.5,0,0,MaineBHE,1
AID3523,1,1,1,1,3,-1,5,65400,474.2621707,2.249095003,14569,NG_Algonquin,250,0,13.112,20,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID3033,1,1,1,1,12.09999998,-1,20,65400,560.0322256,2.767402848,13905,FO6,250,20,12.515,20,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID3249,5,1,1,1,55.20000076,-1,20,65400,560.0322256,2.767402848,13905,FO6,250,20,12.515,20,4,0.64,0.64,0.468,0.25,0.5,0,0,MaineBHE,1
AID2782,2,1,1,1,8.220890411,-1,50,65400,334.6740991,2.338177825,7471.67,NG_Algonquin,250,20,3.1381,14,4,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID2329,2,1,1,1,24.40999985,-1,50,65400,193.4039468,3.581889662,10913,NG_Algonquin,250,0,3.182,2,2,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID6970,5,1,1,1,37.18000031,-1,20,65400,395.2161557,2.051260471,12135,FO6,250,20,10.922,20,4,0.64,0.64,0.468,0.25,0.5,0,0,MaineBHE,1
AID6971,5,1,1,1,52.22999954,-1,20,65400,395.2161557,2.051260471,12135,FO6,250,20,10.922,20,4,0.64,0.64,0.468,0.25,0.5,0,0,MaineBHE,1
AID2687,5,1,1,1,5.397408253,-1,5,65400,617.2122623,1.438077279,9482,NG_Dracut,250,0,8.534,20,4,0.64,0.64,0.468,0.25,0.5,0,0,MaineBHE,1
AID100037,2,1,1,1,0.100000001,-1,70,65400,193.4039468,3.581889662,10000,NG_Algonquin,250,0,0.795,2,2,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID2683,1,1,1,1,9.300000191,-1,20,65400,560.0322256,2.767402848,5234,FO6,250,20,4.711,20,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID6857,10,1,1,1,81.97000122,-1,20,65400,726.5282349,1.790950185,16126,FO6,250,20,14.513,20,4,0.64,0.64,0.468,0.25,0.5,0,0,MassWest,1
AID2768,2,1,1,1,36.3,-1,48.8,65400,474.2621707,2.249095003,12076,NG_Algonquin,250,20,3.36,20,8,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID104996,2,1,1,1,9.300000191,-1,70,65400,0,3.576107845,9598,NG_Algonquin,250,0,1.407,10,1,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID6854,10,1,1,1,51.80583382,-1,20,65400,726.5282349,1.790950185,17278,FO6,250,20,15.55,20,4,0.64,0.64,0.468,0.25,0.5,0,0,MassWest,1
AID6848,7,1,1,1,5,-1,19.2,65400,191.7218661,1.622035448,10973,FO6,250,20,9.876,20,4,0.64,0.64,0.468,0.25,0.5,0,0,MaineSouth,1
AID100126,2,1,1,1,0.159999996,-1,70,65400,193.4039468,3.581889662,10000,NG_Algonquin,250,0,0.795,2,2,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID2685,1,1,1,1,5.699999809,-1,20,65400,560.0322256,2.767402848,5234,FO6,250,20,4.711,20,4,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID10,10,1,1,1,4.212434466,-1,20,65400,726.5282349,1.790950185,17234,FO6,250,20,15.511,20,4,0.64,0.64,0.468,0.25,0.5,0,0,MassWest,1
AID5367,2,1,1,1,81.5,-1,5,65400,538.1683887,2.127612587,15000,NG_Algonquin,250,20,13.5,20,8,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID52,8,1,1,1,61.34691781,-1,50,65400,322.9006049,3.460417953,8757.029032,NG_Tenn Z6,250,20,3.67795,14,4,0.64,0.64,0.468,0.25,0.5,0,0,MassCentral,1
AID6770,2,1,1,1,65.72000122,-1,30,65400,413.7179727,2.553368518,9586.15,NG_Algonquin,250,0,4.02618,16,1,0.64,0.64,0.468,0.25,0.5,0,0,ConnCentral,1
AID5319,12,1,1,1,48.40583229,-1,50,65400,334.6740991,2.231738843,8725.99,NG_Tenn Z6,250,20,3.66492,14,4,0.64,0.64,0.468,0.25,0.5,0,0,RhodeIsland,1
AID2536,6,1,1,1,15.22999954,-1,50,65400,193.4039468,3.581889662,11123,NG_Dracut,250,0,0.795,2,2,0.64,0.64,0.468,0.25,0.5,0,0,MaineCentral,1
AID2686,5,1,1,1,87.09999847,-1,5,65400,617.2122623,1.438077279,8926,NG_Dracut,250,0,8.033,20,4,0.64,0.64,0.468,0.25,0.5,0,0,MaineBHE,1
AID5508,9,1,1,1,12.40990211,-1,50,65400,1051.10985,5.889991328,13283,NG_Algonquin,250,20,5.57886,14,4,0.64,0.64,0.468,0.25,0.5,0,0,MassSE,1
AID104581,1,1,1,1,2.5,-1,70,65400,0,3.581889662,10607,NG_Tenn Z6,250,0,1.407,10,1,0.64,0.64,0.468,0.25,0.5,0,0,Boston,1
AID2618,11,1,1,1,0,-1,20,65400,560.0322256,2.767402848,13904.81818,FO6,250,20,12.514,20,4,0.64,0.64,0.468,0.25,0.5,0,0,NewHampshire,1
